feature,H_full,H_minus_j
MACCSFP11,3.0587574794115193,3.033440391151901
MACCSFP16,3.0587574794115193,3.0539598486016386
MACCSFP38,3.0587574794115193,3.054675090483139
MACCSFP52,3.0587574794115193,3.0597485366837747
MACCSFP53,3.0587574794115193,3.0448822835166176
MACCSFP54,3.0587574794115193,3.0560660351334095
MACCSFP57,3.0587574794115193,3.047963454400012
MACCSFP62,3.0587574794115193,3.0506114387773753
MACCSFP65,3.0587574794115193,3.04751670675261
MACCSFP72,3.0587574794115193,3.0508784205410002
MACCSFP77,3.0587574794115193,3.050805764929293
MACCSFP78,3.0587574794115193,3.058731964087973
MACCSFP79,3.0587574794115193,3.0427615729190567
MACCSFP82,3.0587574794115193,3.0526571348569336
MACCSFP83,3.0587574794115193,3.055699201621907
MACCSFP84,3.0587574794115193,3.0536336531981236
MACCSFP86,3.0587574794115193,3.0696576411160628
MACCSFP87,3.0587574794115193,3.05653783151746
MACCSFP89,3.0587574794115193,3.0531183815427165
MACCSFP90,3.0587574794115193,3.0565045842240757
MACCSFP91,3.0587574794115193,3.0603613447137885
MACCSFP92,3.0587574794115193,3.051972767509621
MACCSFP93,3.0587574794115193,3.0408084811709806
MACCSFP94,3.0587574794115193,3.062667623665167
MACCSFP96,3.0587574794115193,3.0553855506494294
MACCSFP97,3.0587574794115193,3.0486399600823666
MACCSFP100,3.0587574794115193,3.0611959200780277
MACCSFP104,3.0587574794115193,3.0667781493703132
MACCSFP106,3.0587574794115193,3.035073985310658
MACCSFP107,3.0587574794115193,3.060259918994496
MACCSFP108,3.0587574794115193,3.037403594829616
MACCSFP109,3.0587574794115193,3.044034800316415
MACCSFP110,3.0587574794115193,3.0586389999567016
MACCSFP112,3.0587574794115193,3.03706836476498
MACCSFP113,3.0587574794115193,3.0478289388411186
MACCSFP115,3.0587574794115193,3.0366861657271524
MACCSFP116,3.0587574794115193,3.0415108132041517
MACCSFP117,3.0587574794115193,3.058464816709913
MACCSFP118,3.0587574794115193,3.064768675752797
MACCSFP119,3.0587574794115193,3.0626150167163675
MACCSFP124,3.0587574794115193,3.062952902208706
MACCSFP126,3.0587574794115193,3.047498729041538
MACCSFP127,3.0587574794115193,3.0617996970810086
MACCSFP128,3.0587574794115193,3.0706973137574285
MACCSFP129,3.0587574794115193,3.067509768786932
MACCSFP130,3.0587574794115193,3.0481185864075355
MACCSFP131,3.0587574794115193,3.0523948879732776
MACCSFP132,3.0587574794115193,3.0625798775786883
MACCSFP133,3.0587574794115193,3.0505698239194876
MACCSFP134,3.0587574794115193,3.0600957584508905
MACCSFP135,3.0587574794115193,3.0481173395172645
MACCSFP136,3.0587574794115193,3.040695898286667
MACCSFP138,3.0587574794115193,3.065891984743091
MACCSFP139,3.0587574794115193,3.0607492933497777
MACCSFP140,3.0587574794115193,3.0480627498740267
MACCSFP143,3.0587574794115193,3.061799697081009
MACCSFP146,3.0587574794115193,3.0455462958839625
MACCSFP147,3.0587574794115193,3.063491738932201
MACCSFP149,3.0587574794115193,3.034853268367504
MACCSFP150,3.0587574794115193,3.0491834181841138
MACCSFP151,3.0587574794115193,3.0496836027321423
MACCSFP152,3.0587574794115193,3.0511378351061906
MACCSFP154,3.0587574794115193,3.0572107252312013
MACCSFP155,3.0587574794115193,3.0516180805182147
MACCSFP160,3.0587574794115193,3.0434535894126786
