feature,H_full,H_minus_j
PubchemFP0,3.0072286108407984,3.0015097210659487
PubchemFP1,3.0072286108407984,3.0016403372256426
PubchemFP129,3.0072286108407984,2.995475053406815
PubchemFP143,3.0072286108407984,3.0041180375204504
PubchemFP145,3.0072286108407984,3.0050290240895228
PubchemFP146,3.0072286108407984,3.00451398494792
PubchemFP150,3.0072286108407984,3.0076864666393175
PubchemFP153,3.0072286108407984,3.0050378478991084
PubchemFP16,3.0072286108407984,3.0028182980812947
PubchemFP183,3.0072286108407984,3.005129293543439
PubchemFP184,3.0072286108407984,3.005129293543439
PubchemFP186,3.0072286108407984,3.0045213963518114
PubchemFP187,3.0072286108407984,3.00182706747516
PubchemFP188,3.0072286108407984,3.001763658890387
PubchemFP192,3.0072286108407984,3.000788741832731
PubchemFP194,3.0072286108407984,2.9993356974021386
PubchemFP195,3.0072286108407984,2.9999853223410224
PubchemFP199,3.0072286108407984,2.998854154777362
PubchemFP2,3.0072286108407984,2.9992289080899504
PubchemFP20,3.0072286108407984,2.998094507002306
PubchemFP256,3.0072286108407984,3.0107681203244967
PubchemFP258,3.0072286108407984,3.0057711677144
PubchemFP259,3.0072286108407984,3.0030938026781864
PubchemFP261,3.0072286108407984,2.9980588332802776
PubchemFP299,3.0072286108407984,3.0024619918272872
PubchemFP300,3.0072286108407984,3.0059673256177057
PubchemFP308,3.0072286108407984,3.006913520661569
PubchemFP335,3.0072286108407984,2.992087022609047
PubchemFP338,3.0072286108407984,2.9995019298322365
PubchemFP339,3.0072286108407984,3.0065461067243326
PubchemFP340,3.0072286108407984,3.00267865330441
PubchemFP341,3.0072286108407984,3.0043204965852555
PubchemFP346,3.0072286108407984,3.0056701883486565
PubchemFP357,3.0072286108407984,3.006025182107608
PubchemFP358,3.0072286108407984,3.0128045793150915
PubchemFP359,3.0072286108407984,3.0059468362044095
PubchemFP366,3.0072286108407984,3.0041271975461328
PubchemFP372,3.0072286108407984,3.0080829376431892
PubchemFP373,3.0072286108407984,3.0094696793635647
PubchemFP374,3.0072286108407984,2.9932126571826583
PubchemFP375,3.0072286108407984,3.0099692410696273
PubchemFP376,3.0072286108407984,3.0107793572387442
PubchemFP377,3.0072286108407984,3.0025497234538
PubchemFP378,3.0072286108407984,3.0095311403533898
PubchemFP379,3.0072286108407984,3.0113872838438938
PubchemFP381,3.0072286108407984,3.0111652045808284
PubchemFP382,3.0072286108407984,3.0098861497788345
PubchemFP385,3.0072286108407984,3.0050917098223104
PubchemFP386,3.0072286108407984,3.003311692414126
PubchemFP387,3.0072286108407984,3.0128370886821774
PubchemFP388,3.0072286108407984,3.007131501084869
PubchemFP389,3.0072286108407984,3.0091481700677454
PubchemFP392,3.0072286108407984,3.0040595357649047
PubchemFP393,3.0072286108407984,3.0027375517997377
PubchemFP396,3.0072286108407984,3.0120174959782324
PubchemFP397,3.0072286108407984,3.0081253348608574
PubchemFP403,3.0072286108407984,3.0116365481902387
PubchemFP405,3.0072286108407984,3.0042033192240583
PubchemFP406,3.0072286108407984,3.00691352066157
PubchemFP418,3.0072286108407984,3.0126641619081203
